Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
18.0,7784.0,1.66,0.0,820,0.016279039
19.0,8284.0,4.74,0.5,820,0.046483521
20.0,8784.0,8.13,1.0,820,0.07972806450000001
21.0,9284.0,4.27,1.5,820,0.041874395499999995
22.0,9784.0,6.54,2.0,820,0.064135491
23.0,10284.0,7.24,2.5,820,0.071000146
24.0,10784.0,9.25,3.0,820,0.09071151250000001
25.0,11284.0,12.53,3.5,820,0.1228773245
26.0,11784.0,14.52,4.0,820,0.142392558
27.0,12284.0,19.55,4.5,820,0.1917200075
28.0,12784.0,18.06,5.0,820,0.177108099
29.0,13284.0,22.83,5.5,820,0.22388581949999997
30.0,13784.0,26.4,6.0,820,0.25889555999999997
31.0,14284.0,30.67,6.5,820,0.3007699555
32.0,14784.0,31.91,7.0,820,0.3129302015
33.0,15284.0,35.04,7.5,820,0.343625016
34.0,15784.0,36.36,8.0,820,0.356569794
35.0,16284.0,41.53,8.5,820,0.4072701745
36.0,16784.0,43.86,9.0,820,0.430119669
37.0,17284.0,44.8,9.5,820,0.43933792
38.0,17784.0,46.62,10.0,820,0.457186023
39.0,18284.0,43.75,10.5,820,0.4290409375
40.0,18784.0,46.79,11.0,820,0.4588531535
41.0,19284.0,51.12,11.5,820,0.501315948
42.0,19784.0,53.25,12.0,820,0.5222041125
43.0,20284.0,53.91,12.5,820,0.5286765015
44.0,20784.0,57.48,13.0,820,0.563686242
45.0,21284.0,59.59,13.5,820,0.5843782735
46.0,21784.0,63.07,14.0,820,0.6185054155
47.0,22284.0,65.09,14.5,820,0.6383148485000001
48.0,22784.0,66.04,15.0,820,0.647631166
49.0,23284.0,67.41,15.5,820,0.6610662764999999
50.0,23784.0,68.34,16.0,820,0.670186461
51.0,24284.0,70.79,16.5,820,0.6942127535000001
52.0,24784.0,71.99,17.0,820,0.7059807334999999
53.0,25284.0,73.46,17.5,820,0.720396509
54.0,25784.0,77.02,18.0,820,0.755308183
55.0,26284.0,80.42,18.5,820,0.7886507930000001
56.0,26784.0,81.4,19.0,820,0.7982613100000001
57.0,27284.0,83.76,19.5,820,0.821405004
58.0,27784.0,85.95,20.0,820,0.8428815675
59.0,28284.0,88.53,20.5,820,0.8681827245
60.0,28784.0,89.01,21.0,820,0.8728899165
61.0,29284.0,93.76,21.5,820,0.9194715040000001
62.0,29784.0,95.33,22.0,820,0.9348679445
63.0,30284.0,95.09,22.5,820,0.9325143485
64.0,30784.0,97.29,23.0,820,0.9540889785000001
65.0,31284.0,102.19,23.5,820,1.0021415635
66.0,31784.0,105.02,24.0,820,1.029894383
67.0,32284.0,105.89,24.5,820,1.0384261685
68.0,-32752.0,109.09,25.0,820,1.0698074485
69.0,-32252.0,109.74,25.5,820,1.076181771
70.0,-31752.0,112.68,26.0,820,1.105013322
71.0,-31252.0,115.74,26.5,820,1.135021671
72.0,-30752.0,118.04,27.0,820,1.1575769660000002
73.0,-30252.0,117.44,27.5,820,1.151692976
74.0,-29752.0,123.04,28.0,820,1.206610216
75.0,-29252.0,124.11,28.5,820,1.2171033315
76.0,-28752.0,126.19,29.0,820,1.2375011635
77.0,-28252.0,128.87,29.5,820,1.2637829855
78.0,-27752.0,129.72,30.0,820,1.272118638
79.0,-27252.0,133.11,30.5,820,1.3053631815000002
80.0,-26752.0,136.59,31.0,820,1.3394903235
81.0,-26252.0,140.67,31.5,820,1.3795014554999998
82.0,-25752.0,143.76,32.0,820,1.409804004
83.0,-25252.0,147.78,32.5,820,1.449226737
84.0,-24752.0,150.36,33.0,820,1.4745278940000002
85.0,-24252.0,154.73,33.5,820,1.5173829545
86.0,-23752.0,159.09,34.0,820,1.5601399485
87.0,-23252.0,164.62,34.5,820,1.614370723
88.0,-22752.0,169.03,35.0,820,1.6576180495000001
89.0,-22252.0,174.08,35.5,820,1.7071416320000001
