load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement,Time (s),Load (N)
2.0,-3680.0,-49.95,324.5,2.0,2.0,-3680.0,0.0,0.0,0.0,0.0
3.0,-3180.0,-43.63,325.0,2.0,2.0,-3180.0,6.3199997,0.5,0.544729934,0.061978042
4.0,-2680.0,-30.6,325.5,2.0,2.0,-2680.0,19.35,1.0,1.089603291,0.18975869
5.0,-2180.0,-14.55,326.0,2.0,2.0,-2180.0,35.4,1.5,1.635168385,0.34715542
6.0,-1680.0,2.45,326.5,2.0,2.0,-1680.0,52.4,2.0,2.179889405,0.51386845
7.0,-1180.0,12.63,327.0,2.0,2.0,-1180.0,62.58,2.5,2.728008039,0.61370015
8.0,-680.0,23.24,327.5,2.0,2.0,-680.0,73.19,3.0,3.273193484,0.7177487
9.0,-180.0,25.23,328.0,2.0,2.0,-180.0,75.18,3.5,3.818050845,0.7372639
10.0,320.0,42.25,328.5,2.0,2.0,320.0,92.2,4.0,4.3638686920000005,0.90417314
11.0,820.0,66.19,329.0,2.0,2.0,820.0,116.14,4.5,4.907653444,1.1389444
12.0,1320.0,86.54,329.5,2.0,2.0,1320.0,136.49,5.0,5.452918534,1.3385097
13.0,1820.0,78.34,330.0,2.0,2.0,1820.0,128.29,5.5,6.000926383,1.258095
14.0,2320.0,108.34,330.5,2.0,2.0,2320.0,158.29,6.0,6.545472665,1.5522946
15.0,2820.0,116.19,331.0,2.0,2.0,2820.0,166.14,6.5,7.090982319,1.6292769
16.0,3320.0,132.43,331.5,2.0,2.0,3320.0,182.37999,7.0,7.636186114000001,1.7885368
17.0,3820.0,143.84,332.0,2.0,2.0,3820.0,193.79,7.5,8.184066104000001,1.9004307
18.0,4320.0,175.52,332.5,2.0,2.0,4320.0,225.47,8.0,8.728442433,2.2111053
19.0,4820.0,194.76,333.0,2.0,2.0,4820.0,244.70999,8.5,9.273765954,2.3997853
20.0,5320.0,215.46,333.5,2.0,2.0,5320.0,265.41,9.0,9.818825037,2.602783
21.0,5820.0,229.96,334.0,2.0,2.0,5820.0,279.91,9.5,10.363070537,2.7449794
22.0,6320.0,237.61,334.5,2.0,2.0,6320.0,287.56,10.0,10.911782838,2.8200002
23.0,6820.0,246.5,335.0,2.0,2.0,6820.0,296.45,10.5,11.456751937,2.9071813
24.0,7320.0,264.59,335.5,2.0,2.0,7320.0,314.54,11.0,12.001698293,3.0845835
25.0,7820.0,279.93,336.0,2.0,2.0,7820.0,329.88,11.5,12.546236668,3.2350175
