Bush,Branch,Location,Diameter,Height
1,1,1,4.94,915
1,1,2,4.4,800
1,1,3,5.3,680
1,2,1,10.9,885
1,2,2,10.4,795
1,2,3,12.7,670
1,3,1,13.7,860
1,3,2,18.2,765
1,3,3,20.8,655
2,1,1,4.4,930
2,1,2,6.7,820
2,1,3,6.8,715
2,2,1,9.7,890
2,2,2,10.0,800
2,2,3,15.0,715
2,3,1,15.3,905
2,3,2,15.9,820
2,3,3,16.0,705
3,1,1,6.2,895
3,1,2,7.1,800
3,1,3,9.1,700
3,2,1,8.7,745
3,2,2,9.4,795
3,2,3,10.2,700
3,3,1,13.5,785
3,3,2,14.3,710
3,3,3,14.1,650
4,1,1,4.7,840
4,1,2,4.9,730
4,1,3,5.0,625
4,2,1,9.8,730
4,2,2,12.6,660
4,2,3,12.3,640
4,3,1,11.7,800
4,3,2,12.6,750
4,3,3,13.6,650
5,1,1,7.7,835
5,1,2,7.3,765
5,1,3,7.9,685
5,2,1,5.8,905
5,2,2,9.3,760
5,2,3,10.5,675
5,3,1,16.1,1085
5,3,2,18.0,900
5,3,3,22.6,690
6,1,1,8.5,635
6,1,2,12.8,645
6,1,3,12.4,560
6,2,1,11.9,840
6,2,2,12.3,725
6,2,3,12.3,590
6,3,1,11.7,735
6,3,2,11.8,720
6,3,3,12.3,595
