Bush,Branch,Location,Diameter,Height
1,1,1,4.94,641
1,1,2,4.4,518
1,1,3,5.3,390
1,2,1,10.9,505
1,2,2,10.4,415
1,2,3,12.7,306
1,3,1,13.7,544
1,3,2,18.2,446
1,3,3,20.8,343
3,1,1,4.4,658
3,1,2,6.7,552
3,1,3,6.8,446
3,2,1,9.7,522
3,2,2,10.0,438
3,2,3,15.0,341
3,3,1,15.3,594
3,3,2,15.9,515
3,3,3,16.0,400
5,1,1,6.2,534
5,1,2,7.1,434
5,1,3,9.1,343
5,2,1,8.7,620
5,2,2,9.4,553
5,2,3,10.2,466
5,3,1,13.5,522
5,3,2,14.3,456
5,3,3,14.1,392
9,1,1,4.7,610
9,1,2,4.9,489
9,1,3,5.0,387
9,2,1,9.8,547
9,2,2,12.6,468
9,2,3,12.3,388
9,3,1,11.7,497
9,3,2,12.6,450
9,3,3,13.6,361
14,1,1,7.7,571
14,1,2,7.3,501
14,1,3,7.9,424
14,2,1,5.8,626
14,2,2,9.3,547
14,2,3,10.5,471
14,3,1,16.1,814
14,3,2,18.0,629
14,3,3,22.6,442
23,1,1,8.5,503
23,1,2,12.8,414
23,1,3,12.4,333
23,2,1,11.9,582
23,2,2,12.3,463
23,2,3,12.3,335
23,3,1,11.7,625
23,3,2,11.8,536
23,3,3,12.3,427
