ID,Varietal,Season,Age,Lichen,NumTrials,Diameter,Modulus,StDev
LG01,Legacy,dormant,green,yes,3,6.3000,1.82,0.23
DUK3,Duke,dormant,middle,yes,3,8.02,2.88,0.15
EL4,Elliott,dormant,woody,yes,2,16.12,2.16,0.09
LG2,Legacy,dormant,middle,no,3,7.5,5.73,0.02
EL3,Elliott,dormant,green,no,2,8.26,5.61,0.02
EB5,EarliBlue,dormant,green,no,3,8.15,3.78,0.04
EL01,Elliott,dormant,green,no,3,6.4,4.72,0.22
EL02,Elliott,dormant,green,no,2,4.2,6.41,1.20
LG1,Legacy,dormant,middle,no,3,10.7400,2.85,0.07
EL1,Elliott,dormant,middle,no,3,8.8100,4.32,0.03
DUK5,Duke,dormant,woody,no,3,12.24,4.52,0.01
EB1,EarliBlue,dormant,woody,no,3,14.35,5.39,0.20
EB2,EarliBlue,dormant,woody,no,3,7.02,5.62,0.80
DUK2,Duke,dormant,woody,no,3,5.63,3.15,0.05
EL2,Elliott,dormant,woody,no,3,12.4,7.30,0.25
DUK1,Duke,dormant,woody,no,1,19.21,3.07,
DUK4,Duke,dormant,woody,yes,3,10.99,8.05,0.02
EB3,EarliBlue,dormant,green,no,3,5.41,3.13,0.01
EB4,EarliBlue,dormant,middle,no,3,10.64,6.36,0.05
DUK13,Duke,fruiting,green,no,3,6.83,5.44,0.30
DPR12B,Draper,fruiting,green,no,3,4.8800,3.07,0.02
DPR21A,Draper,fruiting,green,no,3,4.1300,2.84,0.04
DPR31C,Draper,fruiting,green,no,3,5.5900,2.30,0.06
DPR33,Draper,fruiting,green,no,3,4.6000,2.82,0.34
LIB11C,Liberty,fruiting,green,no,1,6.3300,2.91,
LIB12A,Liberty,fruiting,green,no,3,4.2800,2.70,0.10
LIB21B,Liberty,fruiting,green,no,2,4.5700,2.33,0.11
DUK14,Duke,fruiting,middle,no,3,8.25,4.47,0.03
DUK15,Duke,fruiting,middle,no,1,6.06,4.33,
DUK16A,Duke,fruiting,middle,no,3,7.81,5.17,0.12
LIB31,Liberty,fruiting,middle,no,3,6.3900,1.74,0.05
LIB13,Liberty,fruiting,middle,no,3,6.9400,3.63,0.10
LIB21A,Liberty,fruiting,middle,no,3,5.4700,1.93,0.01
LIB41A,Liberty,fruiting,middle,no,2,6.2300,1.33,0.00
DPR22,Draper,fruiting,middle,no,3,6.0800,3.00,0.23
DUK12,Duke,fruiting,middle,no,3,7.84,3.75,0.06
DPR31B,Draper,fruiting,middle,no,3,9.0300,4.45,0.01
DUK18,Duke,fruiting,woody,no,4,14.94,1.68,0.24
DUK16,Duke,fruiting,woody,no,3,13.96,2.28,0.19
DUK17,Duke,fruiting,woody,no,3,13.22,3.07,0.01
DUK10,Duke,fruiting,woody,no,6,11.89,2.48,0.32
DUK11,Duke,fruiting,woody,no,3,8.70,2.74,0.12
DUK18A,Duke,fruiting,woody,no,3,8.49,4.04,0.03
DPR11,Draper,fruiting,woody,yes,3,12.58,4.07,0.05
DPR11A,Draper,fruiting,woody,yes,3,10.88,4.81,0.02
DPR11B,Draper,fruiting,woody,yes,3,10.51,3.21,0.04
DPR12,Draper,fruiting,woody,no,3,8.67,4.00,0.01
DPR12A,Draper,fruiting,woody,no,3,6.8900,2.37,0.28
DPR21A,Draper,fruiting,woody,no,3,11.2300,2.61,0.24
DPR31,Draper,fruiting,woody,no,3,14.0300,2.50,0.04
DPR31A,Draper,fruiting,woody,no,3,13.8400,2.61,0.24
DPR32,Draper,fruiting,woody,no,3,9.7900,3.47,0.12
LIB11 ,Liberty,fruiting,woody,yes,3,16.6900,1.91,0.03
LIB11A,Liberty,fruiting,woody,yes,3,14.7700,1.19,0.08
LIB12 ,Liberty,fruiting,woody,no,4,11.4600,2.04,0.20
LIB14,Liberty,fruiting,woody,no,3,10.0400,3.49,0.06
LIB21,Liberty,fruiting,woody,no,3,12.8400,2.56,0.05
LIB32,Liberty,fruiting,woody,dead,3,11.2400,2.28,0.07
LIB41,Liberty,fruiting,woody,no,3,10.3200,2.22,0.02
