load_cell_reading,actuator_displacement,Time (s),Load (N)
0.0,0.0,0.0,0.0
0.5399971,0.5,0.54485412,0.0052955747
1.6800003,1.0,1.0898875080000001,0.01647517
4.449997,1.5,1.6347299670000002,0.04363957
-0.22999954,2.0,2.182752539,-0.0022555292
-0.55000305,2.5,2.72786785,-0.005393684
-1.9799995,3.0,3.272862678,-0.019417167
5.709999,3.5,3.817714225,0.05599597
28.039999,4.0,4.362480445,0.27497846
30.509998,4.5,4.910756746000001,0.29920086
52.68,5.0,5.455657831,0.5166143
61.54,5.5,6.000560862,0.6035012
66.79,6.0,6.5456983520000005,0.65498614
72.03999,6.5,7.090598936,0.706471
83.520004,7.0,7.638739393000001,0.8190514
100.35,7.5,8.183753785,0.98409724
112.619995,8.0,8.728456637,1.1044248
119.39,8.5,9.273501414,1.1708158
107.70999,9.0,9.818291701000001,1.0562742
118.979996,9.5,10.366723069,1.1667951
126.92,10.0,10.911490335,1.24466
143.38,10.5,11.456424529000001,1.4060774
159.05,11.0,12.001024859000001,1.5597476
168.39,11.5,12.546319026,1.6513417
176.19,12.0,13.094507892000001,1.7278336
198.54001,12.5,13.639465968000001,1.9470123
184.1,13.0,14.183999133,1.8054042
192.85,13.5,14.72913929,1.8912123
172.95,14.0,15.274280043000001,1.69606
192.6,14.5,15.822221438000001,1.8887607
209.38,15.0,16.367298691000002,2.0533164
224.66,15.5,16.912110951000003,2.203162
251.33,16.0,17.457756493,2.4647055
256.55,16.5,18.001349594,2.515896
276.49,17.0,18.550579906,2.7114408
277.61,17.5,19.095154503,2.722424
294.49,18.0,19.63997891,2.8879602
323.38,18.5,20.184325749000003,3.1712744
329.36002,19.0,20.733224304,3.2299185
342.28,19.5,21.278053353,3.35662
349.96,20.0,21.823041801000002,3.431935
362.29,20.5,22.367511403,3.5528512
377.4,21.0,22.91271512,3.7010295
389.88,21.5,23.460897011,3.8234167
409.16,22.0,24.005980315000002,4.012489
420.57,22.5,24.550880821,4.1243825
431.99,23.0,25.096039491000003,4.2363744
455.25,23.5,25.640703085000002,4.464477
468.43,24.0,26.188627454000002,4.5937285
473.81,24.5,26.733879530000003,4.6464887
479.94,25.0,27.278743115,4.7066035
490.31,25.5,27.823895741,4.808298
486.15,26.0,28.371892369,4.7675023
484.08002,26.5,28.916886722,4.747203
499.08002,27.0,29.461750873000003,4.894303
510.68,27.5,30.006720489000003,5.0080595
504.92,28.0,30.556744881,4.9515734
505.22,28.5,31.099968157000003,4.9545155
532.54,29.0,31.644735948,5.222433
514.95996,29.5,32.189389927,5.050032
527.97,30.0,32.734675797,5.1776166
577.14,30.5,33.282932867,5.6598096
600.14,31.0,33.827780665,5.8853626
584.01,31.5,34.372410107,5.7271814
511.55,32.0,34.917665293,5.0165915
536.57,32.5,35.465973546,5.261954
548.06,33.0,36.010921255,5.3746324
563.53,33.5,36.559341343,5.5263414
577.55,34.0,37.100892924,5.6638303
555.24,34.5,37.645826841,5.445044
548.66,35.0,38.193868891,5.3805165
578.5,35.5,38.738713613,5.6731467
580.04,36.0,39.283698951000005,5.6882486
561.08,36.5,39.828597508,5.502315
556.78,37.0,40.376781267000005,5.4601464
577.52,37.5,40.921783598000005,5.6635365
560.39,38.0,41.466982389,5.4955482
