bag_timestamp_ns,load_cell_field_0,load_cell_field_1,load_cell_field_2,load_cell_field_3,load_cell_field_4,load_cell_field_5,load_cell_timestamp,load_cell_reading,actuator_displacement
1710525708113739455,3.0,21320.0,-105.45,349.5,2.0,2.0,21320.0,-105.45,349.5
1710525708661785487,4.0,21820.0,-104.89,350.0,2.0,2.0,21820.0,-104.89,350.0
1710525709206696414,5.0,22320.0,-104.6,350.5,2.0,2.0,22320.0,-104.6,350.5
1710525709752505946,6.0,22820.0,-104.88,351.0,2.0,2.0,22820.0,-104.88,351.0
1710525710296430171,7.0,23320.0,-104.86,351.5,2.0,2.0,23320.0,-104.86,351.5
1710525710844851902,8.0,23820.0,-104.42,352.0,2.0,2.0,23820.0,-104.42,352.0
1710525711389696766,9.0,24320.0,-104.52,352.5,2.0,2.0,24320.0,-104.52,352.5
1710525711934867977,10.0,24820.0,-104.69,353.0,2.0,2.0,24820.0,-104.69,353.0
1710525712479620126,11.0,25320.0,-72.12,353.5,2.0,2.0,25320.0,-72.12,353.5
1710525713024507126,12.0,25820.0,-30.98,354.0,2.0,2.0,25820.0,-30.98,354.0
1710525713572896084,13.0,26320.0,-9.97,354.5,2.0,2.0,26320.0,-9.97,354.5
1710525714117548078,14.0,26820.0,2.1,355.0,2.0,2.0,26820.0,2.1,355.0
1710525714662489254,15.0,27320.0,14.08,355.5,2.0,2.0,27320.0,14.08,355.5
1710525715207881060,16.0,27820.0,23.85,356.0,2.0,2.0,27820.0,23.85,356.0
1710525715752343814,17.0,28320.0,34.06,356.5,2.0,2.0,28320.0,34.06,356.5
1710525716300595110,18.0,28820.0,45.13,357.0,2.0,2.0,28820.0,45.13,357.0
1710525716845462087,19.0,29320.0,40.57,357.5,2.0,2.0,29320.0,40.57,357.5
1710525717390482829,20.0,29820.0,49.95,358.0,2.0,2.0,29820.0,49.95,358.0
1710525717935293630,21.0,30320.0,58.64,358.5,2.0,2.0,30320.0,58.64,358.5
1710525718483685452,22.0,30820.0,68.32,359.0,2.0,2.0,30820.0,68.32,359.0
1710525719028454936,23.0,31320.0,77.24,359.5,2.0,2.0,31320.0,77.24,359.5
1710525719573477074,24.0,31820.0,86.07,360.0,2.0,2.0,31820.0,86.07,360.0
1710525720118126828,25.0,32320.0,94.08,360.5,2.0,2.0,32320.0,94.08,360.5
1710525720663294945,26.0,-32716.0,102.98,361.0,2.0,2.0,-32716.0,102.98,361.0
1710525721211498474,27.0,-32216.0,107.42,361.5,2.0,2.0,-32216.0,107.42,361.5
1710525721756555954,28.0,-31716.0,109.84,362.0,2.0,2.0,-31716.0,109.84,362.0
1710525722301325059,29.0,-31216.0,118.76,362.5,2.0,2.0,-31216.0,118.76,362.5
1710525722846899801,30.0,-30716.0,126.33,363.0,2.0,2.0,-30716.0,126.33,363.0
1710525723394597088,31.0,-30216.0,134.46,363.5,2.0,2.0,-30216.0,134.46,363.5
1710525723939402907,32.0,-29716.0,139.79,364.0,2.0,2.0,-29716.0,139.79,364.0
1710525724484260225,33.0,-29216.0,147.34,364.5,2.0,2.0,-29216.0,147.34,364.5
1710525725029367111,34.0,-28716.0,150.76,365.0,2.0,2.0,-28716.0,150.76,365.0
1710525725577525024,35.0,-28216.0,152.88,365.5,2.0,2.0,-28216.0,152.88,365.5
1710525726122562375,36.0,-27716.0,161.91,366.0,2.0,2.0,-27716.0,161.91,366.0
1710525726667328782,37.0,-27216.0,168.98,366.5,2.0,2.0,-27216.0,168.98,366.5
1710525727212307263,38.0,-26716.0,179.9,367.0,2.0,2.0,-26716.0,179.9,367.0
1710525727757375711,39.0,-26216.0,190.46,367.5,2.0,2.0,-26216.0,190.46,367.5
1710525728305654420,40.0,-25716.0,202.84,368.0,2.0,2.0,-25716.0,202.84,368.0
1710525728850382235,41.0,-25216.0,219.39,368.5,2.0,2.0,-25216.0,219.39,368.5
1710525729395411019,42.0,-24716.0,234.86,369.0,2.0,2.0,-24716.0,234.86,369.0
1710525729940468657,43.0,-24216.0,243.12,369.5,2.0,2.0,-24216.0,243.12,369.5
1710525730488670069,44.0,-23716.0,258.54,370.0,2.0,2.0,-23716.0,258.54,370.0
1710525731033483938,45.0,-23216.0,275.71,370.5,2.0,2.0,-23216.0,275.71,370.5
1710525731578523055,46.0,-22716.0,279.61,371.0,2.0,2.0,-22716.0,279.61,371.0
1710525732123222091,47.0,-22216.0,294.93,371.5,2.0,2.0,-22216.0,294.93,371.5
1710525732668577328,48.0,-21716.0,297.58,372.0,2.0,2.0,-21716.0,297.58,372.0
1710525733216294292,49.0,-21216.0,310.79,372.5,2.0,2.0,-21216.0,310.79,372.5
1710525733761429518,50.0,-20716.0,317.18,373.0,2.0,2.0,-20716.0,317.18,373.0
1710525734306209698,51.0,-20216.0,334.69,373.5,2.0,2.0,-20216.0,334.69,373.5
1710525734851558984,52.0,-19716.0,327.03,374.0,2.0,2.0,-19716.0,327.03,374.0
1710525735399889529,53.0,-19216.0,342.73,374.5,2.0,2.0,-19216.0,342.73,374.5
1710525735944409751,54.0,-18716.0,293.15,375.0,2.0,2.0,-18716.0,293.15,375.0
1710525736489251618,55.0,-18216.0,303.47,375.5,2.0,2.0,-18216.0,303.47,375.5
1710525737034452385,56.0,-17716.0,313.31,376.0,2.0,2.0,-17716.0,313.31,376.0
1710525737582566423,57.0,-17216.0,308.67,376.5,2.0,2.0,-17216.0,308.67,376.5
1710525738127616263,58.0,-16716.0,316.92,377.0,2.0,2.0,-16716.0,316.92,377.0
1710525738672525050,59.0,-16216.0,329.11,377.5,2.0,2.0,-16216.0,329.11,377.5
1710525739217325544,60.0,-15716.0,341.16,378.0,2.0,2.0,-15716.0,341.16,378.0
1710525739762163658,61.0,-15216.0,351.24,378.5,2.0,2.0,-15216.0,351.24,378.5
1710525740310512054,62.0,-14716.0,361.16,379.0,2.0,2.0,-14716.0,361.16,379.0
1710525740855637259,63.0,-14216.0,366.16,379.5,2.0,2.0,-14216.0,366.16,379.5
1710525741400293320,64.0,-13716.0,370.36,380.0,2.0,2.0,-13716.0,370.36,380.0
1710525741945218384,65.0,-13216.0,381.05,380.5,2.0,2.0,-13216.0,381.05,380.5
1710525742493694597,66.0,-12716.0,233.16,381.0,2.0,2.0,-12716.0,233.16,381.0
1710525743038429728,67.0,-12216.0,242.21,381.5,2.0,2.0,-12216.0,242.21,381.5
1710525743583575728,68.0,-11716.0,254.66,382.0,2.0,2.0,-11716.0,254.66,382.0
1710525744128362256,69.0,-11216.0,267.0,382.5,2.0,2.0,-11216.0,267.0,382.5
1710525744676608509,70.0,-10716.0,278.16,383.0,2.0,2.0,-10716.0,278.16,383.0
1710525745221529328,71.0,-10216.0,288.65,383.5,2.0,2.0,-10216.0,288.65,383.5
1710525745766493191,72.0,-9716.0,296.31,384.0,2.0,2.0,-9716.0,296.31,384.0
1710525746311262103,73.0,-9216.0,303.74,384.5,2.0,2.0,-9216.0,303.74,384.5
1710525746856253495,74.0,-8716.0,299.68,385.0,2.0,2.0,-8716.0,299.68,385.0
1710525747404333694,75.0,-8216.0,307.24,385.5,2.0,2.0,-8216.0,307.24,385.5
1710525747949567604,76.0,-7716.0,303.87,386.0,2.0,2.0,-7716.0,303.87,386.0
1710525748494372871,77.0,-7216.0,311.43,386.5,2.0,2.0,-7216.0,311.43,386.5
1710525749039221708,78.0,-6716.0,317.09,387.0,2.0,2.0,-6716.0,317.09,387.0
1710525749584081151,79.0,-6216.0,321.92,387.5,2.0,2.0,-6216.0,321.92,387.5
1710525750132382645,80.0,-5716.0,330.21,388.0,2.0,2.0,-5716.0,330.21,388.0
1710525750677338277,81.0,-5216.0,336.61,388.5,2.0,2.0,-5216.0,336.61,388.5
1710525751222328449,82.0,-4716.0,338.49,389.0,2.0,2.0,-4716.0,338.49,389.0
1710525751767479332,83.0,-4216.0,348.53,389.5,2.0,2.0,-4216.0,348.53,389.5
1710525752315444604,84.0,-3716.0,344.97,390.0,2.0,2.0,-3716.0,344.97,390.0
1710525752860383546,85.0,-3216.0,348.45,390.5,2.0,2.0,-3216.0,348.45,390.5
1710525753405214237,86.0,-2716.0,360.06,391.0,2.0,2.0,-2716.0,360.06,391.0
1710525753951402175,87.0,-2216.0,357.71,391.5,2.0,2.0,-2216.0,357.71,391.5
1710525754494924646,88.0,-1716.0,365.29,392.0,2.0,2.0,-1716.0,365.29,392.0
1710525755043467718,89.0,-1216.0,363.5,392.5,2.0,2.0,-1216.0,363.5,392.5
