sim_idx,bush,branch,trial,flex_modulus,probe_height,field_stiffness,sim_stiffness,force_error_10mm,force_error_15mm,force_error_20mm,force_error_25mm,force_error_30mm,num_links,discretization_RMSE
0,1,1,1,4900000000,0.641,0.0169652989786464,0.00390424241789984,0.128835829830662,,,,,8,4.90551608827093
1,1,1,2,4900000000,0.518,0.0309843805094589,0.00752182881054222,0.274833679849641,,,,,8,4.90551608827093
2,1,1,3,4900000000,0.39,0.0886143821452541,0.0178883195295168,0.690314770005981,0.925452975955511,,,,8,4.90551608827093
3,1,2,1,4900000000,0.505,0.12178963487446,0.227565315800976,1.17930067228047,1.67170561035982,2.17023645074665,2.60425462913265,3.08255676046203,7,4.12803873537
4,1,2,2,4900000000,0.415,0.200708531363939,0.405531940647433,1.6572729098019,2.63336645981725,3.64614143347895,4.7510934942229,5.70364387924954,7,4.12803873537
5,1,2,3,4900000000,0.306,0.429159507265198,0.784326441388408,3.30608112578558,4.93545152547718,6.83882078405941,,,7,4.12803873537
6,1,3,1,4900000000,0.544,0.453159169989701,1.07980015449222,6.59346489232679,9.69384930979993,6.06755270151122,,,7,4.92134630568242
7,1,3,2,4900000000,0.446,0.796860417474872,0.532780582696375,,,,,,7,4.92134630568242
8,1,3,3,4900000000,0.343,1.23355590974755,4.61030012879433,,,,,,7,4.92134630568242
9,3,1,1,4900000000,0.658,0.0194319045734522,0.0223263600843285,0.00981933454627859,0.0105536438651118,,,,5,4.04729197775177
10,3,1,2,4900000000,0.552,0.044481861317432,0.0470296180980796,0.0640209843053012,0.023703167826555,0.0208579407903817,0.0401164671249612,0.0890430464594805,5,4.04729197775177
11,3,2,1,4900000000,0.522,0.16567277625938,0.30573424018432,1.57049871133761,2.18670459630646,,,,4,4.82724650627062
12,3,2,2,4900000000,0.438,0.258640306091529,0.734928496739305,4.91978316105386,7.0153583564339,9.35131292764022,11.8294460995518,,4,4.82724650627062
13,3,2,3,4900000000,0.341,0.458626483936575,1.44030990830349,10.9301789441374,16.0521904386977,,,,4,4.82724650627062
14,3,3,1,4900000000,0.594,0.255490921500736,0.257790366425678,0.497985549743947,0.558809209002924,0.558413837148331,0.52799432261193,0.295591710047418,3,3.60722050281465
15,3,3,2,4900000000,0.515,0.358218811207071,0.371616372941811,0.391939618831743,0.303269038338422,0.193842973368349,0.141049789874142,,3,3.60722050281465
16,5,2,1,4900000000,0.62,0.141669610966329,0.0362552696599546,1.49658570999154,1.91669701190168,2.55336003176386,2.9675115718991,3.19107895301172,5,4.10402902522284
17,5,3,1,4900000000,0.522,0.543592492336908,0.391479166684183,1.87786170245217,2.54236111895076,,,,3,4.35564858658831
18,5,3,2,4900000000,0.456,0.66282356491129,0.557506206762069,1.09916064331057,,,,,3,4.35564858658831
19,5,3,3,4900000000,0.392,0.976737031136842,0.748048193587322,,,,,,3,4.35564858658831
20,9,1,2,4900000000,0.489,0.0175788808652406,0.00616795586496825,0.092988248428497,0.159716998066056,,,,4,4.85951725854352
21,9,3,1,4900000000,0.497,0.2408903276171,0.194061566306224,0.511993601691724,0.711015483985322,0.961186475990058,1.12846075832254,1.25792091804349,3,4.6703233879037
22,9,3,3,4900000000,0.361,0.772466501326154,0.612600303341005,1.73905057954847,,,,,3,4.6703233879037
23,14,2,1,4900000000,0.626,0.0263351501812207,0.203036057780205,1.49630471463133,2.46150458154359,3.33983888177877,4.29089913552281,5.16836181415047,4,4.99886718129752
24,14,2,2,4900000000,0.547,0.0862458486451801,0.321533967987392,1.84222415900247,3.31390743937883,4.50520068147709,5.76038158550981,6.94647098597591,4,4.99886718129752
25,23,1,1,4900000000,0.503,0.0530965142389842,0.114414244834896,1.04425510459015,1.37384075841559,1.63796340155418,1.99597399661898,2.28344542192328,6,4.23503369519539
26,23,1,2,4900000000,0.414,0.121188088465408,0.489696012090666,3.40997388184236,5.10536011731268,6.99169383774429,8.86576373798702,,6,4.23503369519539
27,23,1,3,4900000000,0.333,0.216744358323967,0.967817486465173,7.69621035371739,11.1977410911139,14.966908416386,5.61364060460214,6.8933409338722,6,4.23503369519539
28,23,2,1,4900000000,0.582,0.0824785853551768,0.105099868134091,0.435047230616593,0.737112043711155,0.718653062429197,,,4,4.54857655619107
29,23,2,2,4900000000,0.463,0.128542086706369,0.169464670537722,0.670016209846737,0.874293433692568,1.05962473944857,1.33330592909603,,4,4.54857655619107
30,23,2,3,4900000000,0.335,0.205448791061597,0.280055417758108,0.619511926964389,1.14614838315799,1.51440365582686,1.87970112430655,2.30249295337336,4,4.54857655619107
31,23,3,1,4900000000,0.625,0.111364469120324,0.0565189686411774,0.234255185586207,0.73173118721263,0.667165604237874,0.946757249014885,1.21837040490262,6,4.56435101696105
32,23,3,3,4900000000,0.427,0.50113973582561,0.3043201914276,2.41284633225271,3.59738183435655,,,,6,4.56435101696105
