sim_idx,bush,branch,trial,flex_modulus,probe_height,field_stiffness,sim_stiffness,force_error_10mm,force_error_15mm,force_error_20mm,force_error_25mm,force_error_30mm,num_links,discretization_RMSE
0,1,1,1,4900000000.0,0.641,0.016965298978646397,0.0039042424178998385,0.12883582983066177,,,,,8,4.905516088270926
1,1,1,2,4900000000.0,0.518,0.030984380509458915,0.007521828810542221,0.2748336798496408,,,,,8,4.905516088270926
2,1,1,3,4900000000.0,0.39,0.0886143821452541,0.017888319529516795,0.6903147700059814,0.9254529759555106,,,,8,4.905516088270926
3,1,2,1,4900000000.0,0.505,0.12178963487445983,0.22756531580097636,1.1793006722804658,1.6717056103598176,2.1702364507466547,2.604254629132651,3.082556760462033,7,4.128038735369998
4,1,2,2,4900000000.0,0.415,0.2007085313639386,0.40553194064743325,1.6572729098018972,2.633366459817251,3.646141433478946,4.751093494222902,5.703643879249538,7,4.128038735369998
5,1,2,3,4900000000.0,0.306,0.4291595072651976,0.7843264413884083,3.3060811257855764,4.935451525477178,6.838820784059408,,,7,4.128038735369998
6,1,3,1,4900000000.0,0.544,0.453159169989701,1.0801090964930316,6.593464892326791,9.69384930979993,6.06755270151122,,,7,4.921346305682415
7,1,3,2,4900000000.0,0.446,0.796860417474872,0.5327805826963746,,,,,,7,4.921346305682415
8,1,3,3,4900000000.0,0.343,1.2335559097475486,4.610300128794334,,,,,,7,4.921346305682415
9,3,1,1,4900000000.0,0.658,0.019431904573452154,0.02232636008432851,0.00981933454627859,0.010553643865111817,,,,5,4.047291977751772
10,3,1,2,4900000000.0,0.552,0.04448186131743198,0.04702961809807961,0.06402098430530118,0.023703167826555016,0.020857940790381724,0.0401164671249612,0.08904304645948047,5,4.047291977751772
11,3,2,1,4900000000.0,0.522,0.16567277625938015,0.30573424018432016,1.5704987113376134,2.186704596306461,,,,4,4.82724650627062
12,3,2,2,4900000000.0,0.438,0.2586403060915288,0.7349284967393055,4.919783161053857,7.015358356433899,9.351312927640215,11.829446099551806,,4,4.82724650627062
13,3,2,3,4900000000.0,0.341,0.45862648393657496,1.4403099083034887,10.930178944137381,16.052190438697707,,,,4,4.82724650627062
14,3,3,1,4900000000.0,0.594,0.25549092150073616,0.25779036642567765,0.4979855497439467,0.558809209002924,0.5584138371483309,0.5279943226119297,0.29559171004741813,3,3.6072205028146462
15,3,3,2,4900000000.0,0.515,0.35821881120707066,0.37161637294181127,0.39193961883174344,0.30326903833842245,0.19384297336834866,0.14104978987414185,,3,3.6072205028146462
16,5,2,1,4900000000.0,0.62,0.14166961096632857,0.03625526965995457,1.4965857099915354,1.9166970119016769,2.553360031763857,2.9675115718990988,3.1910789530117194,5,4.104029025222835
17,5,3,1,4900000000.0,0.522,0.5435924923369077,0.39147916668418287,1.8778617024521704,2.54236111895076,,,,3,4.355648586588308
18,5,3,2,4900000000.0,0.456,0.6628235649112901,0.5575062067620691,1.0991606433105732,,,,,3,4.355648586588308
19,5,3,3,4900000000.0,0.392,0.9767370311368422,0.7480481935873216,,,,,,3,4.355648586588308
20,9,1,2,4900000000.0,0.489,0.01757888086524064,0.006167955864968252,0.09298824842849704,0.15971699806605555,,,,4,4.859517258543516
21,9,3,1,4900000000.0,0.497,0.24089032761710036,0.19406156630622415,0.5119936016917239,0.7110154839853218,0.9611864759900581,1.1284607583225448,1.257920918043494,3,4.670323387903699
22,9,3,3,4900000000.0,0.361,0.7724665013261538,0.6126003033410055,1.7390505795484712,,,,,3,4.670323387903699
23,14,2,1,4900000000.0,0.626,0.02633515018122066,0.20303605778020473,1.4963047146313337,2.461504581543593,3.339838881778774,4.290899135522808,5.168361814150471,4,4.998867181297516
24,14,2,2,4900000000.0,0.547,0.08624584864518012,0.3215339679873918,1.8422241590024715,3.313907439378829,4.505200681477095,5.760381585509805,6.946470985975909,4,4.998867181297516
25,23,1,1,4900000000.0,0.503,0.053096514238984184,0.11441424483489564,1.0442551045901534,1.373840758415594,1.6379634015541757,1.9959739966189798,2.2834454219232763,6,4.235033695195388
26,23,1,2,4900000000.0,0.414,0.12118808846540786,0.4896960120906658,3.409973881842359,5.105360117312682,6.991693837744291,8.865763737987024,,6,4.235033695195388
27,23,1,3,4900000000.0,0.333,0.21674435832396705,0.9678174864651725,7.696210353717387,11.197741091113876,14.966908416386037,5.613640604602137,6.8933409338722,6,4.235033695195388
28,23,2,1,4900000000.0,0.582,0.08247858535517681,0.1050998681340908,0.43504723061659323,0.7371120437111551,0.7186530624291971,,,4,4.548576556191067
29,23,2,2,4900000000.0,0.463,0.12854208670636857,0.16946467053772224,0.6700162098467375,0.8742934336925681,1.0596247394485712,1.333305929096027,,4,4.548576556191067
30,23,2,3,4900000000.0,0.335,0.20544879106159722,0.28005541775810777,0.6195119269643892,1.1461483831579882,1.5144036558268583,1.8797011243065507,2.3024929533733642,4,4.548576556191067
31,23,3,1,4900000000.0,0.625,0.11136446912032351,0.056518968641177364,0.23425518558620673,0.73173118721263,0.667165604237874,0.9467572490148854,1.2183704049026178,6,4.564351016961052
32,23,3,3,4900000000.0,0.427,0.5011397358256098,0.3043201914276002,2.4128463322527054,3.597381834356547,,,,6,4.564351016961052
