Index,Bush,Branch ,Trial,start_time_imu,start_time_visual,end_time
0,1,1,1,0,2,45
1,1,1,2,10,10,45
2,1,1,3,4,7,45
3,1,2,1,0,2,45
4,1,2,2,0,4,45
5,1,2,3,0,0,20
6,1,3,1,3.5,4,45
7,1,3,2,0,0,45
8,1,3,3,0,0,45
9,2,1,1,0,0,45
10,2,1,2,0,0,45
11,2,1,3,4,4.5,34.3
12,2,2,1,5,5,45
13,2,2,2,0,0,45
14,2,2,3,0,2.5,45
15,2,3,1,0,0,45
16,2,3,2,0,0,45
17,2,3,3,0,0,45
18,3,1,1,0,0,45
19,3,1,2,4.5,4.5,19.5
20,3,1,3,0,1,12
21,3,2,1,0,1,45
22,3,2,2,0,0,45
23,3,2,3,5,5.5,45
24,3,3,1,2,0,45
25,3,3,2,4,1,45
26,3,3,3,0,0,45
27,4,1,1,4,4,45
28,4,1,2,2,2,45
29,4,1,3,0,0,38.2
30,4,2,1,0,0,45
31,4,2,2,4,0,19
32,4,2,3,3,0,22
33,4,3,1,0,8,22
34,4,3,2,0,0,31.3
35,4,3,3,0,0,45
36,5,1,1,2.5,2.5,45
37,5,1,2,0,0,45
38,5,1,3,2,2,45
39,5,2,1,0,0,45
40,5,2,2,0,2,45
41,5,2,3,0,0,0
42,5,3,1,0,4,41.5
43,5,3,2,0,2,19
44,5,3,3,0,1,45
45,6,1,1,4,4,45
46,6,1,2,0,0,45
47,6,1,3,1.5,2,45
48,6,2,1,2,2,45
49,6,2,2,3,3,45
50,6,2,3,0,0.5,45
51,6,3,1,0,0,45
52,6,3,2,0,0,45
53,6,3,3,0,0.5,45
