Iteration,Time Stamp,Load Cell Reading (gf),Displacement (mm),Height (mm),Load (N)
3.0,29960.0,-26.85,0.0,735,0.0
4.0,30460.0,-21.14,0.5,735,0.05599597150000002
5.0,30960.0,-21.58,1.0,735,0.05168104550000002
6.0,31460.0,-13.94,1.5,735,0.12660385150000003
7.0,31960.0,-9.47,2.0,735,0.170439577
8.0,32460.0,-10.8,2.5,735,0.15739673250000003
9.0,-32576.0,-6.49,3.0,735,0.199663394
10.0,-32076.0,3.32,3.5,735,0.2958666305
11.0,-31576.0,7.77,4.0,735,0.339506223
12.0,-31076.0,9.31,4.5,735,0.354608464
13.0,-30576.0,15.73,5.0,735,0.417567157
14.0,-30076.0,30.8,5.5,735,0.5653533725
15.0,-29576.0,39.7,6.0,735,0.6526325575
16.0,-29076.0,43.48,6.5,735,0.6897016945
17.0,-28576.0,46.74,7.0,735,0.7216713735
18.0,-28076.0,57.41,7.5,735,0.826308329
19.0,-27576.0,64.89,8.0,735,0.8996620710000001
20.0,-27076.0,71.09,8.5,735,0.9604633010000001
21.0,-26576.0,46.07,9.0,735,0.7151009180000001
22.0,-26076.0,56.17,9.5,735,0.8141480830000001
23.0,-25576.0,73.52,10.0,735,0.9842934605
24.0,-25076.0,82.51,10.5,735,1.0724552440000001
25.0,-24576.0,86.04,11.0,735,1.1070727185
26.0,-24076.0,85.56,11.5,735,1.1023655265
27.0,-23576.0,94.37,12.0,735,1.1887621130000001
28.0,-23076.0,103.11,12.5,735,1.274472234
29.0,-22576.0,108.31,13.0,735,1.325466814
30.0,-22076.0,103.56,13.5,735,1.2788852265000001
31.0,-21576.0,123.33,14.0,735,1.472762697
32.0,-21076.0,130.24,14.5,735,1.5405266485000002
33.0,-20576.0,137.24,15.0,735,1.6091731985000002
34.0,-20076.0,125.44,15.5,735,1.4934547285000002
35.0,-19576.0,147.12,16.0,735,1.7060629005
36.0,-19076.0,145.34,16.5,735,1.6886070635000001
37.0,-18576.0,152.86,17.0,735,1.7623530715000002
38.0,-18076.0,155.87,17.5,735,1.7918710880000002
39.0,-17576.0,159.38,18.0,735,1.8262924295
40.0,-17076.0,181.25,18.5,735,2.040763865
41.0,-16576.0,182.09,19.0,735,2.049001451
42.0,-16076.0,174.61,19.5,735,1.9756477090000002
43.0,-15576.0,178.98,20.0,735,2.0185027695
44.0,-15076.0,191.93,20.5,735,2.145498887
45.0,-14576.0,194.88,21.0,735,2.1744285045
46.0,-14076.0,190.73,21.5,735,2.133730907
47.0,-13576.0,177.39,22.0,735,2.0029101959999998
48.0,-13076.0,191.6,22.5,735,2.1422626925
49.0,-12576.0,196.15,23.0,735,2.18688295
50.0,-12076.0,203.14,23.5,735,2.2554314334999996
51.0,-11576.0,203.14,24.0,735,2.2554314334999996
52.0,-11076.0,216.55,24.5,735,2.38693861
53.0,-10576.0,221.64,25.0,735,2.4368544584999996
54.0,-10076.0,230.7,25.5,735,2.5257027075
55.0,-9576.0,241.03,26.0,735,2.627005402
56.0,-9076.0,238.23,26.5,735,2.5995467819999996
57.0,-8576.0,253.89,27.0,735,2.7531189209999996
58.0,-8076.0,254.27,27.5,735,2.756845448
59.0,-7576.0,259.78,28.0,735,2.8108800894999995
60.0,-7076.0,261.54,28.5,735,2.8281397935
61.0,-6576.0,269.24,29.0,735,2.9036509985
62.0,-6076.0,270.22,29.5,735,2.9132615155000003
63.0,-5576.0,275.46,30.0,735,2.9646483614999997
64.0,-5076.0,286.95,30.5,735,3.0773267699999995
65.0,-4576.0,301.24,31.0,735,3.2174637985
66.0,-4076.0,309.21,31.5,735,3.2956227989999998
67.0,-3576.0,309.7,32.0,735,3.3004280574999996
68.0,-3076.0,317.25,32.5,735,3.374468265
69.0,-2576.0,313.27,33.0,735,3.3354377979999996
70.0,-2076.0,320.5,33.5,735,3.4063398775
71.0,-1576.0,327.45,34.0,735,3.4744960949999997
72.0,-1076.0,339.83,34.5,735,3.5959024219999995
73.0,-576.0,346.28,35.0,735,3.6591553144999995
74.0,-76.0,359.65,35.5,735,3.7902702249999995
75.0,424.0,353.44,36.0,735,3.7293709285
76.0,924.0,365.08,36.5,735,3.8435203344999995
77.0,1424.0,373.62,37.0,735,3.9272691255
78.0,1924.0,383.15,37.5,735,4.0207265
79.0,2424.0,394.9,38.0,735,4.1359546375
80.0,2924.0,404.72,38.5,735,4.2322559405
81.0,3424.0,414.31,39.0,735,4.3263017139999995
82.0,3924.0,425.97,39.5,735,4.440647253
83.0,4424.0,435.83,40.0,735,4.537340822
84.0,4924.0,443.79,40.5,735,4.615401756
85.0,5424.0,451.28,41.0,735,4.6888535645
86.0,5924.0,453.33,41.5,735,4.708957197
87.0,6424.0,465.12,42.0,735,4.8245776005
88.0,6924.0,468.26,42.5,735,4.8553704815
89.0,7424.0,469.91,43.0,735,4.8715514540000004
